As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,MISC,TFM21080,1ST ENERGY SECTOR REHAB. PROJ.,CA,Canada,Canadian International Development  Agency (CIDA),2000,$3316771.98,$0.00,$3316771.98,LCLS
09/12/2012,MISC,TFM24655,1ST STRUCTURAL ADJUSTMENT CREDIT (SAC 1),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$5919962.11,$0.00,$5919962.11,LCLS
09/12/2012,MISC,TFM22045,2ND FAMILY HEALTH PROJECT IN ZIMBABWE,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$3788775.75,$0.00,$3788775.75,LCLS
09/12/2012,MISC,TFM21030,2ND POP. & FAMILY HEALTH PROJECT-CIDA,CA,Canada,Canadian International Development  Agency (CIDA),2000,$3781213.19,$0.00,$3781213.19,LCLS
09/12/2012,REIMB,TF028193,3RD INTERIM EVAL. OF AGA KHAN RURAL SUPPORT PROGRAM,X1,Private Non Profit Entities,,2000,$200000.00,$0.00,$200000.00,LCLS
09/12/2012,DS,TFM22276,5TH DIMENSION 1995,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$2367984.84,$0.00,$2367984.84,LCLS
09/12/2012,DS,TFM26615,5TH DIMENSION DEBT SERVICE (1993),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$7357604.97,$0.00,$7357604.97,LCLS
09/12/2012,DS,TFM21104,5TH DIMENSION IBRD DEBT SERVICE,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$6016322.49,$0.00,$6016322.49,LCLS
09/12/2012,DS,TFM26315,5TH DIMENSION OPERATION FOR ETHIOPIA,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$6377144.31,$0.00,$6377144.31,LCLS
09/12/2012,DS,TFM27933,5TH DIMENSION SPA,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$1775988.63,$0.00,$1775988.63,LCLS
09/12/2012,MISC,TFM21695,A STUDY OF INDONESIANS AND THAI CITIES,US,United States,United States Agency for International Development (USAID),2000,$218000.00,$0.00,$218000.00,LCLS
09/12/2012,MISC,TFM20798,ACTIVITIES IN THE PHARMACEUTICAL SECTOR,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$177598.86,$0.00,$177598.86,LCLS
09/12/2012,MISC,TFM20180,ADMIN. OF AUSTRALIAN GRANT TO SOM,AU,Australia,Australian Agency for International Development (AusAID),2000,$292720.00,$0.00,$292720.00,LCLS
09/12/2012,BHTF,TFM20212,ADVISORY SERVICES AND TECH. ASSIST.,X4,Other Entities,,2000,$5966.56,$0.00,$5966.56,LCLS
09/12/2012,BHTF,TFM20212,ADVISORY SERVICES AND TECH. ASSIST.,X4,Other Entities,,2000,$732703.56,$0.00,$732703.56,LCLS
09/12/2012,MISC,TFM20422,AFR REGIONAL STUDIES PROGRAM (SPA/DYNAMICS OF POVERTY),US,United States,United States Agency for International Development (USAID),2000,$65000.00,$0.00,$65000.00,LCLS
09/12/2012,REIMB,TF028054,AFR. AGRI. RES. (SPAAR),X4,Other Entities,,2000,$410034.09,$0.00,$410034.09,LCLS
09/12/2012,MISC,TFM27391,AFR. POPULATION ADVISORY COMMITTEE (APAC),DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$300000.00,$0.00,$300000.00,LCLS
09/12/2012,SSATP,TFM20684,AFRICA - RURAL TRAVEL AND TRANSPORT PROGRAM (RTTP),NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2000,$1044135.68,$0.00,$1044135.68,LCLS
09/12/2012,ACBF,TFM23971,AFRICA CAPACITY BUILDING INITIATIVE - PHASE I -- ADM. COSTS,X4,Other Entities,,2000,$9111379.12,$0.00,$9111379.12,LCLS
09/12/2012,ACBF,TFM23970,AFRICA CAPACITY BUILDING INITIATIVE - PHASE I -- PROJ. COSTS,X4,Other Entities,,2000,$51098515.68,$0.00,$51098515.68,LCLS
09/12/2012,WBI,TFM20950,AFRICA CONGO BASIN PROGRAMME,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$444972.76,$0.00,$444972.76,LCLS
09/12/2012,MISC,TFM23707,AFRICA POVERTY MONITORING & ANALYSIS PRG,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2550857.73,$0.00,$2550857.73,LCLS
09/12/2012,IFC,TF023632,AFRICA PROJECT DEVELOPMENT FACILITY 2000 (APDF-2000),X3,International and Intergovernmental Organizations,,2000,$10087019.65,$0.00,$10087019.65,LCLS
09/12/2012,MISC,TFM22165,AFRICA TELECOMMUNICATIONS POLICY STUDY,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$520000.00,$0.00,$520000.00,LCLS
09/12/2012,MISC,TFM22167,AFRICA TELECOMMUNICATIONS POLICY STUDY,X4,Other Entities,,2000,$347967.37,$0.00,$347967.37,LCLS
09/12/2012,MISC,TFM22348,AFRICA VIRTUAL UNIVERSITY (EEC FUNDING),E1,European Commission/European Union,EU-Commission of the European Communities,2000,$516313.98,$0.00,$516313.98,LCLS
09/12/2012,MISC,TFM20912,AFRICA WATER RESOURCES MANAGEMENT INITIATIVE,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$22174.00,$0.00,$22174.00,LCLS
09/12/2012,MISC,TF020421,AFRICA WATER UTILITIES PARTNERSHIP - PROJECT 5,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$548653.31,$0.00,$548653.31,LCLS
09/12/2012,MISC,TFM21538,AFRICAN AGRICULTURAL RESEARCH ACTIVITIES,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$296638.10,$0.00,$296638.10,LCLS
09/12/2012,MISC,TFM21537,AFRICAN AGRICULTURAL RESEARCH ACTIVITIES (SPAAR),CA,Canada,Canadian International Development  Agency (CIDA),2000,$644775.29,$0.00,$644775.29,LCLS
09/12/2012,ACBF,TFM23563,African Capacity Building Foundation (ACBF)-Partnership for Capacity Building in Africa (PACT) Trust Fund,I1,International Bank for Reconstruction & Development,"IBRD 1818 H Street, NW",2000,$125600000.00,$0.00,$125600000.00,ACTN
09/12/2012,MISC,TFM28017,AFRICAN EDUCATION,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$25954.17,$0.00,$25954.17,LCLS
09/12/2012,MISC,TFM28101,AFRICAN EDUCATION - SCHOOL EXAMINATION STUDIES,X1,Private Non Profit Entities,,2000,$67080.00,$0.00,$67080.00,LCLS
09/12/2012,MISC,TFM20650,AFRICAN EDUCATION MINISTERS MEETING,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$110022.35,$0.00,$110022.35,LCLS
09/12/2012,IFC,TFM21779,African Project Development Facility,A1,African Development Bank Group,AFRICAN DEVELOPMENT FUND,2000,$2071080.00,$0.00,$2071080.00,LCLS
09/12/2012,IFC,TFM23670,AFRICAN PROJECT DEVELOPMENT FACILITY-PHASE II,X4,Other Entities,,2000,$3355359.86,$0.00,$3355359.86,LCLS
09/12/2012,MISC,TFM20030,AFRICAN ROAD MAINTENANCE SEMINAR,CA,Canada,Canadian International Development  Agency (CIDA),2000,$43050.71,$0.00,$43050.71,LCLS
09/12/2012,MISC,TFM21816,AFRICA'S MANAGEMENT IN THE 90'S,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$229577.20,$0.00,$229577.20,LCLS
09/12/2012,MISC,TFM21815,AFRICA'S MANAGEMENT IN THE 90'S,X4,Other Entities,,2000,$547125.98,$0.00,$547125.98,LCLS
09/12/2012,IFC,TFM22667,AGENCY FOR HOUSING MORTGAGE LENDING,US,United States,United States Agency for International Development (USAID),2000,$66424.00,$0.00,$66424.00,LCLS
09/12/2012,MISC,TFM28045,AGENDA FOR ACTION TO IMPROVE - POP. PROG,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$75581.47,$0.00,$75581.47,LCLS
09/12/2012,MISC,TFM28157,AGENDA FOR ACTION TO IMPROVE POP. PGMS,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$100000.00,$0.00,$100000.00,LCLS
09/12/2012,MISC,TFM28156,AGENDA FOR ACTION TO IMPROVE POP. PGMS,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$78438.88,$0.00,$78438.88,LCLS
09/12/2012,MISC,TFM28150,AGENDA FOR ACTION TO IMPROVE POP. PGMS,X1,Private Non Profit Entities,,2000,$25000.00,$0.00,$25000.00,LCLS
09/12/2012,MISC,TFM28149,AGENDA FOR ACTION TO IMPROVE POP. PGMS,X3,International and Intergovernmental Organizations,,2000,$26672.41,$0.00,$26672.41,LCLS
09/12/2012,MISC,TFM27390,AGENDA FOR ACTION TO IMPROVE THE IMPLE.,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$446567.85,$0.00,$446567.85,LCLS
09/12/2012,MISC,TFM28165,AGRIC.DIVERSIFICATION & INTENSIF. STUDY,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$128830.66,$0.00,$128830.66,LCLS
09/12/2012,WBI,TFM21710,AGRICULRURAL TRAINING PROGRAM / CESAG,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$304748.29,$0.00,$304748.29,LCLS
09/12/2012,MISC,TFM23360,AGRICULTURAL ADJUSTMENT CREDIT,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$18342530.95,$0.00,$18342530.95,LCLS
09/12/2012,MISC,TFM23350,AGRICULTURAL ADJUSTMENT CREDIT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$65313224.33,$0.00,$65313224.33,LCLS
09/12/2012,MISC,TFM24780,AGRICULTURAL DEVELOPMENT PROG IN BOLIVIA,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$3613551.78,$0.00,$3613551.78,LCLS
09/12/2012,MISC,TFM21956,AGRICULTURAL EXPORT DEVELOPMENT PROGRAM,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$433160.81,$0.00,$433160.81,LCLS
09/12/2012,MISC,TFM21955,AGRICULTURAL EXPORT DEVELOPMENT PROGRAM,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$6383590.58,$0.00,$6383590.58,LCLS
09/12/2012,MISC,TFM21185,AGRICULTURAL INTENSIFICATION STUDY,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$209073.80,$0.00,$209073.80,LCLS
09/12/2012,MISC,TFM21200,AGRICULTURAL REHABILITATION,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$4230656.49,$0.00,$4230656.49,LCLS
09/12/2012,MISC,TFM22005,AGRICULTURAL RESEARCH 2 PREPARA. STUDY,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$91515.00,$0.00,$91515.00,LCLS
09/12/2012,MISC,TFM21390,AGRICULTURAL SECTOR,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$14102188.33,$0.00,$14102188.33,LCLS
09/12/2012,MISC,TFM23280,AGRICULTURAL SECTOR ADJUSTMENT CREDIT,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$15812526.68,$0.00,$15812526.68,LCLS
09/12/2012,MISC,TFM21855,AGRICULTURAL SECTOR ADJUSTMENT CREDIT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$2350364.72,$0.00,$2350364.72,LCLS
09/12/2012,MISC,TFM23525,AGRICULTURAL SECTOR ADJUSTMENT CREDIT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$14102188.33,$0.00,$14102188.33,LCLS
09/12/2012,MISC,TFM20033,AGRICULTURAL SECTOR ADJUSTMENT LOAN,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$719435.64,$0.00,$719435.64,LCLS
09/12/2012,MISC,TFM27490,AGRICULTURAL SECTOR ADJUSTMENT LOAN,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$9401458.88,$0.00,$9401458.88,LCLS
09/12/2012,MISC,TFM22735,AGRICULTURAL SECTOR DEVELOPMENT STRATEGY,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$345545.14,$0.00,$345545.14,LCLS
09/12/2012,MISC,TFM21360,AGRICULTURAL SECTOR LOAN,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$9401458.88,$0.00,$9401458.88,LCLS
09/12/2012,MISC,TFM21619,AGRICULTURAL SERVICES RESTRUCTURING PROJECT,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$1376715.89,$0.00,$1376715.89,LCLS
09/12/2012,WBI,TFM21705,AGRICULTURAL TRAINING PROGRAM / IPD-AOS,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$283303.56,$0.00,$283303.56,LCLS
09/12/2012,MISC,TFM20809,AGRICULTURE PRIVAT. & ENTERPRISE ADJUSTMENT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$5000000.00,$0.00,$5000000.00,LCLS
09/12/2012,MISC,TFM20820,AGRICULTURE RESEARCH & EXTENSION,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$6696001.53,$0.00,$6696001.53,LCLS
09/12/2012,MISC,TFM25075,AGRICULTURE SECTOR ADJUSTMENT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$4136641.91,$0.00,$4136641.91,LCLS
09/12/2012,MISC,TFM20804,AGROPROCESSING DEVELOPMENT PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1000000.00,$0.00,$1000000.00,LCLS
09/12/2012,MISC,TF021110,AID TO KENYA & TANZANIA (MADIA),X4,Other Entities,,2000,$903583.20,$0.00,$903583.20,LCLS
09/12/2012,WBI,TFM21020,AIDAB-EDI COFINANCING,AU,Australia,Australian Agency for International Development (AusAID),2000,$2795751.60,$0.00,$2795751.60,LCLS
09/12/2012,MISC,TFM26390,AIDAB-YANGTZE ECONOMIC ZONE TRNSPT STUDY,AU,Australia,Australian Agency for International Development (AusAID),2000,$2623398.09,$0.00,$2623398.09,LCLS
09/12/2012,MISC,TFM20893,ALBANIA FORESTRY PROJECT,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2000,$449973.00,$0.00,$449973.00,LCLS
09/12/2012,MISC,TFM20909,ALBANIA FORESTRY PROJECT,IT,Italy,Italy - Ministry of Foreign Affairs,2000,$8670000.00,$0.00,$8670000.00,LCLS
09/12/2012,MISC,TFM23508,ALBANIA MICROCREDIT PROJECT,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2000,$446404.62,$0.00,$446404.62,LCLS
09/12/2012,MISC,TFM21558,ALBANIA RURAL DEVELOPMENT PROJECT,IT,Italy,Italy - Ministry of Foreign Affairs,2000,$2284819.94,$0.00,$2284819.94,LCLS
09/12/2012,MISC,TFM23249,ALBANIA STRUCTURAL ADJUSTMENT CREDIT - SWISS GRANT,CH,Switzerland,Swiss State Secretariat for Economic Affairs (SECO),2000,$3153977.17,$0.00,$3153977.17,LCLS
09/12/2012,MISC,TFM26675,ALLEVIATION OF POVERTY & SOCIAL COST ADJUSTMENT,US,United States,United States Agency for International Development (USAID),2000,$1000000.00,$0.00,$1000000.00,LCLS
09/12/2012,MISC,TFM25652,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$1296257.58,$0.00,$1296257.58,LCLS
09/12/2012,MISC,TFM25645,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$2334657.47,$0.00,$2334657.47,LCLS
09/12/2012,MISC,TFM25642,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$2508885.64,$0.00,$2508885.64,LCLS
09/12/2012,MISC,TFM25643,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$1581252.67,$0.00,$1581252.67,LCLS
09/12/2012,IFC,TFM26855,APDF 3 - JAPANESE TRUST FUND,JP,Japan,Japan - Ministry of Finance,2000,$400000.00,$0.00,$400000.00,LCLS
09/12/2012,MISC,TFM25653,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1175182.36,$0.00,$1175182.36,LCLS
09/12/2012,MISC,TFM25644,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$1183992.42,$0.00,$1183992.42,LCLS
09/12/2012,MISC,TFM25640,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$1775988.63,$0.00,$1775988.63,LCLS
09/12/2012,MISC,TFM25651,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$1966151.94,$0.00,$1966151.94,LCLS
09/12/2012,MISC,TFM25647,ALLEVIATION OF POVERTY/SOCIAL COSTS ADJ.,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$2367984.84,$0.00,$2367984.84,LCLS
09/12/2012,MISC,TFM22865,ALTERNATIVE ENERGY POLICY & PROJECT DEV.,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$3976889.97,$0.00,$3976889.97,LCLS
09/12/2012,IFC,TFM20100,AMSCO - BELGIAN TRUST FUND,BE,Belgium,Belgium Directorate General for Development Cooperation (DGDC),2000,$256794.00,$0.00,$256794.00,LCLS
09/12/2012,IFC,TFM20032,AMSCO - NETHERLANDS TRUST FUND,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$470072.95,$0.00,$470072.95,LCLS
09/12/2012,MISC,TFM20560,ANAL. OF A SAFE MOTHERHOOD IN,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$20000.00,$0.00,$20000.00,LCLS
09/12/2012,MISC,TFM21543,ANDHRA PRADESH STATE HIGHWAYS,AU,Australia,Australian Agency for International Development (AusAID),2000,$1189168.32,$0.00,$1189168.32,LCLS
09/12/2012,MISC,TFM26647,ANGOLA - SOCIAL ACTION PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$916923.00,$0.00,$916923.00,LCLS
09/12/2012,MISC,TFM20283,ANGOLA LOBITO BENGUELA ENV. REHAB. PROJ.,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$3698743.70,$0.00,$3698743.70,LCLS
09/12/2012,MISC,TFM20691,ANIMAL FEED PROJECT (RECIPIENT EXECUTION),AU,Australia,Australian Agency for International Development (AusAID),2000,$682349.97,$0.00,$682349.97,LCLS
09/12/2012,MISC,TFM20973,APAC FUNDING,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$368898.98,$0.00,$368898.98,LCLS
09/12/2012,IFC,TFM26666,APDF - DANISH FUND FOR SOUTH AFRICA,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$400000.00,$0.00,$400000.00,LCLS
09/12/2012,IFC,TFM26667,APDF - DANISH INVESTMENT OFFICERS FUND,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$1368752.00,$0.00,$1368752.00,LCLS
09/12/2012,IFC,TFM26665,APDF 2 - DANISH CONSULTANTS FUND,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$1951355.50,$0.00,$1951355.50,LCLS
09/12/2012,IFC,TFM22815,APDF 2 - FMO TA (1ST) FUND,X2,Private For Profit Entities,,2000,$423065.65,$0.00,$423065.65,LCLS
09/12/2012,IFC,TFM23672,APDF 2 - GERMANY,DE,Germany,Germany-Deutsche Gesellschaft Fur Internationale Zusammenarbeit (GIZ),2000,$158894.86,$0.00,$158894.86,LCLS
09/12/2012,IFC,TFM23671,APDF 2 - PORTUGAL,PT,Portugal,Portugal - Ministry of Finance,2000,$400000.00,$0.00,$400000.00,LCLS
09/12/2012,IFC,TFM23676,APDF 2 - USAID GHANA,US,United States,United States Agency for International Development (USAID),2000,$1888873.08,$0.00,$1888873.08,LCLS
09/12/2012,IFC,TFM23675,APDF 2 - USAID UGANDA,US,United States,United States Agency for International Development (USAID),2000,$1071702.21,$0.00,$1071702.21,LCLS
09/12/2012,IFC,TFM23677,APDF 2 - USAID UGANDA II,US,United States,United States Agency for International Development (USAID),2000,$194919.67,$0.00,$194919.67,LCLS
09/12/2012,IFC,TFM22816,APDF 2 -FMO TA (2ND) FUND,X2,Private For Profit Entities,,2000,$342307.11,$0.00,$342307.11,LCLS
09/12/2012,IFC,TFM23750,APDF 2 NORWAY TF FOR AFRICAN WOMEN ENTREPRENEURS,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$406167.96,$0.00,$406167.96,LCLS
09/12/2012,IFC,TFM26850,APDF 3 - BELGIAN,BE,Belgium,Belgium Directorate General for Development Cooperation (DGDC),2000,$744702.61,$0.00,$744702.61,LCLS
09/12/2012,IFC,TFM26858,APDF 3 - DANISH GRANT,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$1000000.00,$0.00,$1000000.00,LCLS
09/12/2012,IFC,TFM26853,APDF 3 - FINNISH TRUST FUND,FI,Finland,Finland - Ministry for Foreign Affairs,2000,$435566.56,$0.00,$435566.56,LCLS
09/12/2012,IFC,TFM26851,APDF 3 - FRENCH TRUST FUND,FR,France,France - Ministry of Foreign Affairs (including Ministry of Cooperation),2000,$13961.16,$53493.17,$67454.33,LCLS
09/12/2012,IFC,TFM26852,APDF 3 - NETHERLANDS TRUST FUND,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1175182.36,$0.00,$1175182.36,LCLS
09/12/2012,IFC,TFM26857,APDF 3 - SWEDEN,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$1269035.53,$0.00,$1269035.53,LCLS
09/12/2012,MISC,TFM20877,APEAC PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$4113138.26,$0.00,$4113138.26,LCLS
09/12/2012,WBI,TFM21622,ARAB FUND/EDI PARTHERSHIP PROGRAM,X1,Private Non Profit Entities,,2000,$325000.00,$0.00,$325000.00,LCLS
09/12/2012,MISC,TFM21541,ARAL SEA BASIN PROGRAM         (BANK-EXECUTED REGIONAL TF),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$81149.00,$0.00,$81149.00,LCLS
09/12/2012,MISC,TFM21162,ARAL SEA BASIN PROGRAM GRANT TO THE INT'L FUND FOR THE ARAL SEA,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$355880.37,$0.00,$355880.37,LCLS
09/12/2012,MISC,TFM21222,ARMENIA: INTEGRATED WATER RESOURCES MANAGEMENT PLAN,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1021272.59,$0.00,$1021272.59,LCLS
09/12/2012,MISC,TFM21127,ARMENIA-STRUCTURAL ADJUSTMENT CREDIT II,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$6448489.64,$0.00,$6448489.64,LCLS
09/12/2012,MISC,TFM21082,ARSENIC MITIGATION WATER SUPPLY PROJECT,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2000,$2000000.00,$0.00,$2000000.00,LCLS
09/12/2012,ASEM,TF020147,ASEM ASIAN FINANCIAL CRISIS,IT,Italy,Italy - Ministry of Foreign Affairs,2000,$877689.89,$0.00,$877689.89,LCLS
09/12/2012,ASEM,TF020147,ASEM ASIAN FINANCIAL CRISIS,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$10961726.67,$0.00,$10961726.67,LCLS
09/12/2012,ASEM,TF020147,ASEM ASIAN FINANCIAL CRISIS,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$660438.26,$0.00,$660438.26,LCLS
09/12/2012,ASEM,TF020147,ASEM ASIAN FINANCIAL CRISIS,X4,Other Entities,,2000,$31311199.39,$0.00,$31311199.39,LCLS
09/12/2012,MISC,TFM24670,ASIA TECHNICAL ASSISTANCE PROG. / FINIDA,FI,Finland,Finland - Ministry for Foreign Affairs,2000,$247493.00,$0.00,$247493.00,LCLS
09/12/2012,MISC,TFM26485,AUDIT OF VIET NAM BANK FOR AGRICULTURE,AU,Australia,Australian Agency for International Development (AusAID),2000,$491887.14,$0.00,$491887.14,LCLS
09/12/2012,IFC,TF020379,AUSAID/IFC to Finance Technical Assistance Activities for Private Sector Development in China,AU,Australia,Australian Agency for International Development (AusAID),2000,$953950.00,$0.00,$953950.00,LCLS
09/12/2012,CTF,TFM20760,AUSTRALIAN CONSULTANTS TRUST FUND - 0,AU,Australia,Australian Agency for International Development (AusAID),2000,$1584908.25,$0.00,$1584908.25,LCLS
09/12/2012,CTF,TF020761,AUSTRALIAN CONSULTANTS TRUST FUND (USD),AU,Australia,Australian Agency for International Development (AusAID),2000,$27689588.23,$0.00,$27689588.23,LCLS
09/12/2012,MISC,TFM20070,AUSTRALIAN SOUTH PACIFIC FACILITY,AU,Australia,Australian Agency for International Development (AusAID),2000,$3155536.22,$41.02,$3155577.24,LCLS
09/12/2012,MISC,TF020071,AUSTRALIAN SOUTH PACIFIC FACILITY (USD),AU,Australia,Australian Agency for International Development (AusAID),2000,$1024746.28,$0.00,$1024746.28,LCLS
09/12/2012,WBI,TFM20483,AUSTRIA/EDI PARTNERSHIP PROGRAM,AT,Austria,Austria - Federal Ministry for Foreign Affairs (plus MDC),2000,$567000.00,$0.00,$567000.00,LCLS
09/12/2012,IFC,TF020538,Austria/IFC Technical Assistance Trust Fund,AT,Austria,Austria - Federal Ministry of Finance,2000,$1000000.00,$0.00,$1000000.00,ACTN
09/12/2012,CTF,TF020430,AUSTRIAN CONSULTANT TRUST FUND,AT,Austria,Austria - Federal Ministry of Finance,2000,$9113209.14,$0.00,$9113209.14,LCLS
09/12/2012,CTF,TF020855,AUSTRIAN CONSULTANT TRUST FUND FOR E & C EUROPE,AT,Austria,Austria - Federal Ministry of Finance,2000,$8700685.52,$0.00,$8700685.52,LCLS
09/12/2012,CTF,TF022199,AUSTRIAN GLOBAL ENVIRONMENT COOPERATION TF,AT,Austria,Austria - Federal Ministry of Finance,2000,$3261798.25,$0.00,$3261798.25,LCLS
09/12/2012,SDA,TFM23260,AUSTRIAN SDA,AT,Austria,Austria - Federal Ministry of Finance,2000,$300000.00,$0.00,$300000.00,LCLS
09/12/2012,BHTF,TF024090,B&H FY 1998 ITALY CONTRIBUTION-  NON-DISBURSING PARENT,IT,Italy,Italy - Ministry of Foreign Affairs,2000,$6181720.50,$0.00,$6181720.50,LCLS
09/12/2012,REIMB,TF028103,BACKWARD LINKAGES IN THAI INDUSTRIAL SEC,US,United States,United States Agency for International Development (USAID),2000,$33072.32,$0.00,$33072.32,LCLS
09/12/2012,MISC,TFM22291,BALOCHISTAN COM. IRRIGATION & AGRI. PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$515706.96,$0.00,$515706.96,LCLS
09/12/2012,MISC,TFM22292,BALOCHISTAN COM. IRRIGATION & AGRI. PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$5399970.00,$0.00,$5399970.00,LCLS
09/12/2012,MISC,TFM24235,BALTIC TRUST FUND FOR SOCIAL SECTORS,X4,Other Entities,,2000,$1046611.27,$0.00,$1046611.27,LCLS
09/12/2012,MISC,TF024256,BALTIC-RIGA REGIONAL MISSION,FI,Finland,Finland - Ministry for Foreign Affairs,2000,$1835234.91,$0.00,$1835234.91,LCLS
