As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,FS-AFR,TF071293,Lake Victoria Environmental Management  Project II,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2009,$7811573.54,$3807261.21,$11618834.75,ACTN
09/12/2012,IFC,TF070834,Latin America Housing Finance Program,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$700000.00,$0.00,$700000.00,LCLS
09/12/2012,FS-SP,TF070585,Leadership and Ethics in Governance,US,United States,United States Agency for International Development (USAID),2009,$100000.00,$0.00,$100000.00,LCLS
09/12/2012,LRTF,TF070859,Liberia Reconstruction Trust Fund,IE,Ireland,Ireland - Minister for Foreign Affairs/ Irish Aid,2009,$2842600.00,$0.00,$2842600.00,ACTN
09/12/2012,LRTF,TF070859,Liberia Reconstruction Trust Fund,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2009,$9463339.77,$0.00,$9463339.77,ACTN
09/12/2012,IFC,TF070573,Luxembourg/IFC Partnership Program,LU,Luxembourg,Luxembourg - Ministry of Finance,2009,$1948757.52,$0.00,$1948757.52,ACTN
09/12/2012,IFC,TF070586,Luxembourg/IFC Technical Assistance Trust Fund,LU,Luxembourg,Luxembourg - Ministry of Finance,2009,$810629.34,$0.00,$810629.34,ACTN
09/12/2012,4H-MEF,TF071181,Mekong Australian Agency for International Development (AUSAID) Energy Fund,AU,Australia,Australian Agency for International Development (AusAID),2009,$16056942.00,$2128752.84,$18185694.84,ACTN
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),AU,Australia,Australian Agency for International Development (AusAID),2009,$51755.45,$0.00,$51755.45,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),CA,Canada,Canadian International Development  Agency (CIDA),2009,$27207.24,$0.00,$27207.24,LCLS
